From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,
These data are summaries of data available online with the article:,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,
Photo.umolCO2 is CO2 flux into a leaf; it is a  measure of photosynthetic rate,,,,,,,,,,
,,,,,,,,,,
Plot,Tag,Season,Month,Treatment,Habit,Species,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2
2,168,dry,Apr,watered,liana,Machaeriummilleflorum,-0.485,-0.692,-0.207,NA
2,133,dry,Apr,watered,liana,Maripapanamensis,-0.625,-1.442,-0.817,NA
2,146,dry,Apr,watered,liana,Maripapanamensis,-0.623,-1.482,-0.859,NA
2,123,dry,Apr,watered,liana,Paulliniapinnata,-0.531,-1.302,-0.771,NA
2,194,dry,Apr,watered,liana,Paulliniapinnata,-0.637,-2.292,-1.655,NA
2,105,dry,Apr,watered,tree,Crescentiacujete,-0.783,-1.468,-0.685,NA
2,181,dry,Apr,watered,tree,Crescentiacujete,-1.07,-1.69,-0.62,NA
2,169,dry,Apr,watered,tree,Dipteryxoleifera,-1.027,-1.652,-0.625,NA
2,179,dry,Apr,watered,tree,Dipteryxoleifera,-1.203,-1.256,-0.053,NA
2,152,dry,Apr,watered,tree,Hieronymaalchorneoides,-0.532,-1.083,-0.551,NA
2,193,dry,Apr,watered,tree,Hieronymaalchorneoides,-0.641,-1.561,-0.92,NA
2,172,dry,Apr,watered,tree,Huracrepitans,-1.433,-1.502,-0.069,NA
2,198,dry,Apr,watered,tree,Huracrepitans,-0.834,-0.943,-0.109,NA
2,131,dry,Apr,watered,tree,Swieteniamacrophylla,-1.052,-2.131,-1.079,NA
2,142,dry,Apr,watered,tree,Swieteniamacrophylla,-0.233,-1.802,-1.569,NA
2,159,dry,Apr,watered,tree,Terminaliaamazonia,-0.144,-0.693,-0.549,NA
2,199,dry,Apr,watered,tree,Terminaliaamazonia,-0.39,-1.472,-1.082,NA
2,145,dry,Mar,watered,liana,Callichlamyslatifolia,-0.641,-1.291,-0.65,NA
2,128,dry,Mar,watered,liana,Davillakunthii,-0.269,-1.643,-1.374,NA
2,175,dry,Mar,watered,liana,Davillakunthii,-0.432,-1.874,-1.442,NA
2,122,dry,Mar,watered,liana,Doliocarpusmajor,-1.871,-2.503,-0.632,NA
2,192,dry,Mar,watered,liana,Doliocarpusmajor,-0.577,-2.098,-1.521,NA
2,141,dry,Mar,watered,liana,Machaeriummilleflorum,-0.645,-2.186,-1.541,NA
2,168,dry,Mar,watered,liana,Machaeriummilleflorum,-0.561,-1.901,-1.34,NA
2,133,dry,Mar,watered,liana,Maripapanamensis,-0.357,-1.475,-1.118,NA
2,146,dry,Mar,watered,liana,Maripapanamensis,-0.948,-1.502,-0.554,NA
2,123,dry,Mar,watered,liana,Paulliniapinnata,-0.349,-0.826,-0.477,NA
2,194,dry,Mar,watered,liana,Paulliniapinnata,-0.515,-2.278,-1.763,NA
2,105,dry,Mar,watered,tree,Crescentiacujete,-0.956,-1.703,-0.747,NA
2,181,dry,Mar,watered,tree,Crescentiacujete,-1.372,-1.921,-0.549,NA
2,169,dry,Mar,watered,tree,Dipteryxoleifera,-1.074,-3.514,-2.44,NA
2,152,dry,Mar,watered,tree,Hieronymaalchorneoides,-1.972,-1.981,-0.009,NA
2,193,dry,Mar,watered,tree,Hieronymaalchorneoides,-1.901,-2.379,-0.478,NA
2,172,dry,Mar,watered,tree,Huracrepitans,-0.736,-0.992,-0.256,NA
2,198,dry,Mar,watered,tree,Huracrepitans,-0.895,-1.058,-0.163,NA
2,131,dry,Mar,watered,tree,Swieteniamacrophylla,-0.51,-2.681,-2.171,NA
2,142,dry,Mar,watered,tree,Swieteniamacrophylla,-2.275,-2.349,-0.074,NA
2,159,dry,Mar,watered,tree,Terminaliaamazonia,-0.952,-1.953,-1.001,NA
2,199,dry,Mar,watered,tree,Terminaliaamazonia,-0.158,-1.517,-1.359,NA
2,145,transition,May,watered,liana,Callichlamyslatifolia,-0.483,-1.487,-1.004,NA
2,128,transition,May,watered,liana,Davillakunthii,-0.392,-1.08,-0.688,NA
2,175,transition,May,watered,liana,Davillakunthii,-0.082,-0.816,-0.734,NA
2,122,transition,May,watered,liana,Doliocarpusmajor,-0.541,-1.312,-0.771,NA
2,192,transition,May,watered,liana,Doliocarpusmajor,-0.261,-1.227,-0.966,NA
2,141,transition,May,watered,liana,Machaeriummilleflorum,-0.66,-1.692,-1.032,NA
2,168,transition,May,watered,liana,Machaeriummilleflorum,-0.218,-1.24,-1.022,NA
2,133,transition,May,watered,liana,Maripapanamensis,-0.849,-1.291,-0.442,NA
2,146,transition,May,watered,liana,Maripapanamensis,-0.649,-1.138,-0.489,NA
2,123,transition,May,watered,liana,Paulliniapinnata,-0.511,-1.48,-0.969,NA
2,194,transition,May,watered,liana,Paulliniapinnata,-0.563,-1.715,-1.152,NA
2,105,transition,May,watered,tree,Crescentiacujete,-0.47,-1.092,-0.622,NA
2,181,transition,May,watered,tree,Crescentiacujete,-0.4,-1.111,-0.711,NA
2,169,transition,May,watered,tree,Dipteryxoleifera,-0.732,-1.112,-0.38,NA
2,179,transition,May,watered,tree,Dipteryxoleifera,-0.382,-1.432,-1.05,NA
2,152,transition,May,watered,tree,Hieronymaalchorneoides,-0.307,-0.931,-0.624,NA
2,193,transition,May,watered,tree,Hieronymaalchorneoides,-0.476,-0.926,-0.45,NA
2,172,transition,May,watered,tree,Huracrepitans,-0.368,-0.574,-0.206,NA
2,198,transition,May,watered,tree,Huracrepitans,-0.611,-1.621,-1.01,NA
2,131,transition,May,watered,tree,Swieteniamacrophylla,-0.46,-1.087,-0.627,NA
2,142,transition,May,watered,tree,Swieteniamacrophylla,-0.722,-1.835,-1.113,NA
2,159,transition,May,watered,tree,Terminaliaamazonia,-0.544,-0.811,-0.267,NA
2,199,transition,May,watered,tree,Terminaliaamazonia,-0.453,-1.145,-0.692,NA
2,189,wet,Oct,watered,liana,Callichlamyslatifolia,-0.151,-0.87,-0.719,11.2
2,175,wet,Oct,watered,liana,Davillakunthii,-0.076,-0.883,-0.807,14.9
2,192,wet,Oct,watered,liana,Doliocarpusmajor,-0.18,-1.337,-1.157,10.7
2,141,wet,Oct,watered,liana,Machaeriummilleflorum,-0.302,-0.878,-0.576,9.11
2,133,wet,Oct,watered,liana,Maripapanamensis,-0.189,-1.379,-1.19,14
2,123,wet,Oct,watered,liana,Paulliniapinnata,-0.179,-1.018,-0.839,13.5
2,181,wet,Oct,watered,tree,Crescentiacujete,-0.167,-1.359,-1.192,12.7
2,169,wet,Oct,watered,tree,Dipteryxoleifera,-0.182,-0.702,-0.52,2.65
2,152,wet,Oct,watered,tree,Hieronymaalchorneoides,-0.066,-0.78,-0.714,7.59
2,152,wet,Oct,watered,tree,Hieronymaalchorneoides,-0.066,-0.78,-0.714,7.59
2,172,wet,Oct,watered,tree,Huracrepitans,-0.39,-0.459,-0.069,8.09
2,142,wet,Oct,watered,tree,Swieteniamacrophylla,-0.213,-0.702,-0.489,10.7
2,199,wet,Oct,watered,tree,Terminaliaamazonia,-0.179,-1.637,-1.458,17
2,145,wet,Sep,watered,liana,Callichlamyslatifolia,-0.289,-1.582,-1.293,NA
