From: Smith-Martin et al. (2019) Effects of dry-season irrigation on leaf physiology and biomass allocation in tropical lianas and trees. Ecology 100:e02827,,,,,,,,,,,,,,
These data are summaries of data available online with the article:,,,,https://doi.org/10.5061/dryad.844rs7d,,,,,,,,,,
mean_MPa is pre-dawn leaf water potential; it is the mean from replicate trees in replicate plots which were not watered.,,,,,,,,,,,,,,
mean_CO2_flux is flux into a leaf; it is a very close proxy for photosynthetic rate,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Plot,Treatment,Tag,Speciesname,Habit,PredawnMPa,MiddayMPa,MiddayMinusPredawnMPa,Photo.umolCO2,Condu.mol.H2O,IntrinsicWUE.A,InstantaneusWUE.A,SoilMoisture,Date,Season
4,unwatered,318,Doliocarpusmajor,liana,-1,-3.463,-2.463,NA,NA,NA,NA,23.958,9_March_15,dry
4,unwatered,329,Doliocarpusmajor,liana,-1.102,-3.801,-2.699,NA,NA,NA,NA,23.958,11_March_15,dry
4,unwatered,359,Machaeriummilleflorum,liana,-0.156,-1.802,-1.646,NA,NA,NA,NA,21.3324,2_March_15,dry
4,unwatered,397,Machaeriummilleflorum,liana,-0.825,-2.106,-1.281,NA,NA,NA,NA,20.0196,11_March_15,dry
4,unwatered,383,Maripapanamensis,liana,-0.202,-1.582,-1.38,NA,NA,NA,NA,21.0042,4_March_15,dry
4,unwatered,385,Maripapanamensis,liana,-0.513,-1.864,-1.351,NA,NA,NA,NA,19.2538,13_March_15,dry
4,unwatered,363,Paulliniapinnata,liana,-0.628,-2.394,-1.766,NA,NA,NA,NA,21.5512,13_March_15,dry
4,unwatered,389,Paulliniapinnata,liana,-0.972,-2.336,-1.364,NA,NA,NA,NA,23.2469,9_March_15,dry
4,unwatered,302,Crescentiacujete,tree,-0.953,-1.503,-0.55,NA,NA,NA,NA,19.9102,2_March_15,dry
4,unwatered,349,Crescentiacujete,tree,-1.767,-3.007,-1.24,NA,NA,NA,NA,21.4965,9_March_15,dry
4,unwatered,324,Dipteryxoleifera,tree,-1.597,-3.9,-2.303,NA,NA,NA,NA,22.317,3_March_15,dry
4,unwatered,382,Dipteryxoleifera,tree,-0.782,-0.93,-0.148,NA,NA,NA,NA,22.6452,2_March_15,dry
4,unwatered,400,Huracrepitans,tree,-0.406,-0.702,-0.296,NA,NA,NA,NA,21.0042,2_March_15,dry
4,unwatered,313,Swieteniamacrophylla,tree,-1.334,-2.904,-1.57,NA,NA,NA,NA,23.1375,13_March_15,dry
4,unwatered,388,Swieteniamacrophylla,tree,-1.635,-1.689,-0.054,NA,NA,NA,NA,24.0674,4_March_15,dry
4,unwatered,319,Terminaliaamazonia,tree,-2.173,-3.208,-1.035,NA,NA,NA,NA,20.676,13_March_15,dry
4,unwatered,358,Terminaliaamazonia,tree,-1.374,-2.144,-0.77,NA,NA,NA,NA,24.7238,7_March_15,dry
5,unwatered,402,Davillakunthii,liana,-1.456,-2.771,-1.315,NA,NA,NA,NA,19.0664,2_March_15,dry
5,unwatered,422,Davillakunthii,liana,-1.458,-3.033,-1.575,NA,NA,NA,NA,18.1248,13_March_15,dry
5,unwatered,407,Doliocarpusmajor,liana,-1.796,-2.998,-1.202,NA,NA,NA,NA,21.8056,2_March_15,dry
5,unwatered,436,Doliocarpusmajor,liana,-2.072,-2.705,-0.633,NA,NA,NA,NA,20.7784,6_March_15,dry
5,unwatered,414,Machaeriummilleflorum,liana,-0.784,-1.874,-1.09,NA,NA,NA,NA,17.6968,11_March_15,dry
5,unwatered,483,Machaeriummilleflorum,liana,-0.442,-0.859,-0.417,NA,NA,NA,NA,23.9028,9_March_15,dry
5,unwatered,420,Maripapanamensis,liana,-0.497,-1.685,-1.188,NA,NA,NA,NA,21.292,2_March_15,dry
5,unwatered,463,Maripapanamensis,liana,-1.068,-1.858,-0.79,NA,NA,NA,NA,19.7512,4_March_15,dry
